MUN_LPI;latitude;longitude
LINHARES;-19.341076;-39.9483354
AMÉRICO BRASILIENSE;-21.7297099;-48.1052092
SANTA TERESA;-19.936339;-40.597945
MONTE ALEGRE;-1.9989108;-54.0727694
CASIMIRO DE ABREU;-22.4756154;-42.1522235
CARANGOLA;-20.733638;-42.0299412
CARIACICA;-20.263202;-40.416549
ALENQUER;-1.946229;-54.738355
VENDA NOVA DO IMIGRANTE;-20.3325787;-41.1295842
AMPARO;-22.70111;-46.76444
ALFREDO CHAVES;-20.6356507;-40.7484424
SERRA;39.6851966;-0.4281287
MONTE ALEGRE DO SUL;-22.681861;-46.6798783
SANTA LEOPOLDINA;-20.0987046;-40.5269434
MARECHAL FLORIANO;-20.4124966;-40.6749858
AMORINÓPOLIS;-16.6211308;-51.0949921
SÃO MATEUS;-18.7146049;-39.8539499
VIANA;42.5154725;-2.3713437
CANAÃ;-20.685555;-42.62
MARICÁ;-22.9088759;-42.8171914
CAPUTIRA;-20.171945;-42.270278
FERVEDOURO;-20.7295764;-42.2792737
SANTA MARIA MADALENA;-21.9518563;-41.9000248
SÃO JOÃO DA BOA VISTA;-21.9687099;-46.7969216
SILVA JARDIM;-22.6509706;-42.3947353
MACAÉ;-22.2828305;-41.9649091
BARRA DO GARÇAS;-15.8916033;-52.2615413
ITATIBA;-23.0055542;-46.8397726
MAIRIPORÃ;-23.3190348;-46.5876377
ATIBAIA;-23.1177393;-46.5547861
NAZARÉ PAULISTA;-23.1819309;-46.3992986
SÃO PAULO;-23.5506507;-46.6333824
BRUMADINHO;-20.143611;-44.2
JARINU;-23.0949649;-46.7148565
CAIEIRAS;-23.3644621;-46.7484765
FRANCO DA ROCHA;-23.3328038;-46.724446
BARRA LONGA;-20.2833541;-43.0423516
CARMO DA MATA;-20.558334;-44.8703774
MAR DE ESPANHA;-21.866945;-43.01
NOVA LIMA;-19.9854089;-43.8470691
MARIANA;-20.3781468;-43.4174862
GOIANÁ;-21.5375;-43.2014
TERESÓPOLIS;-22.4164578;-42.975194
RIO ACIMA;-20.0875;-43.789166
PONTE NOVA;-20.4164353;-42.90878
IBIÚNA;-23.6544825;-47.220856
INDAIATUBA;-23.0908356;-47.2180677
