MUN_OCOR;Latitude;Longitude
BLUMENAU;-26.9195567;-49.0658025
BENEDITO NOVO;-26.7840657;-49.3629511
GASPAR;-26.9307306;-48.9566824
POMERODE;-26.7356218;-49.1770095
TIMBÓ;-26.8282737;-49.270641
LUIZ ALVES;-26.7118577;-48.9126756
MASSARANDUBA;-26.610868;-49.005351
DOUTOR PEDRINHO;-26.716408;-49.482726
MAFRA;-26.1150943;-49.8035982
RIO NEGRINHO;-26.259075;-49.517746
SÃO BENTO DO SUL;-26.2483669;-49.3820672
UNIÃO DA VITÓRIA;-26.228596;-51.0869796
PAULA FREITAS;-26.2092739;-50.936462
PORTO VITÓRIA;-26.1605673;-51.2239397
SÃO MATEUS DO SUL;-25.866823;-50.382796
CAMPO ALEGRE;-26.1941684;-49.2657484
BITURUNA;-26.161281;-51.5533319
PIÊN;-26.0988916;-49.4297904
CRUZ MACHADO;-26.0184626;-51.3503171
MANGUEIRINHA;-25.9412009;-52.1740852
PAULO FRONTIN;-26.0399524;-50.8337759
ANTÔNIO OLINTO;-25.9849006;-50.1974516
MALLET;-25.8829457;-50.8289338
CAMPO DO TENENTE;-25.9814143;-49.684518
QUITANDINHA;-25.8737269;-49.4977717
LAPA;-25.76709;-49.716777
RIO AZUL;-25.726644;-50.790534
MANDIRITUBA;-25.7772457;-49.3279107
SÃO JOÃO DO TRIUNFO;-25.682971;-50.29492
CONTENDA;-25.678811;-49.535044
ARAUCÁRIA;-25.5861107;-49.4051209
QUATRO BARRAS;-25.3708987;-49.0745672
PALMEIRA;-25.4269718;-49.9987787
AGUDOS DO SUL;-25.9890808;-49.3328175
TEIXEIRA SOARES;-25.3719287;-50.4586285
GUARANIAÇU;-25.10035;-52.867811
TURVO;-25.043933;-51.5392172
PRUDENTÓPOLIS;-25.203358;-50.9895774
SANTA MARIA DO OESTE;-24.9392355;-51.8712242
PITANGA;-24.759586;-51.7637582
CÂNDIDO DE ABREU;-24.5747463;-51.3432207
SAPOPEMA;-23.9105099;-50.5791315
SERRA NEGRA;-22.6126459;-46.699986
