UF_LPI,MUN_LPI,Latitude,Longitude
ES,CONCEIÇÃO DA BARRA,-18.5841421,-39.7371844
ES,ALFREDO CHAVES,-20.6356507,-40.7484424
SP,MOCOCA,-21.464731,-47.002405
ES,ALTO RIO NOVO,-19.0577208,-41.0171518
MG,SÃO ROQUE DE MINAS,-20.245277,-46.365833
MG,,-18.8941408,-48.2622678
RJ,SÃO FIDÉLIS,-21.6467054,-41.7463412
MG,JUIZ DE FORA,-21.7609533,-43.3501129
ES,GUARAPARI,-20.6718755,-40.4984617
MG,ARAÇUAÍ,-16.8484451,-42.0661868
RJ,PORCIÚNCULA,-20.9632862,-42.0400358
MG,ITAIPÉ,-17.401944,-41.670278
SP,AMPARO,-22.70111,-46.76444
ES,ANCHIETA,-20.8057672,-40.6454564
MG,CORONEL FABRICIANO,-19.5200067,-42.6282686
MG,CAPUTIRA,-20.171945,-42.270278
MG,FERVEDOURO,-20.7295764,-42.2792737
RJ,VALENÇA,-22.2461028,-43.6996917
AM,AUTAZES,-3.5833283,-59.1301518
RJ,BOM JESUS DO ITABAPOANA,-21.1351354,-41.6798294
RJ,CACHOEIRAS DE MACACU,-22.4626861,-42.6534414
SP,SÃO JOÃO DA BOA VISTA,-21.9687099,-46.7969216
SP,ITATIBA,-23.0055542,-46.8397726
RJ,GUAPIMIRIM,-22.5266308,-42.9790687
SP,JUNDIAÍ,-23.1887668,-46.884506
SP,SOCORRO,-22.5902619,-46.5249112
SP,MAIRIPORÃ,-23.3190348,-46.5876377
MG,BRUMADINHO,-20.143611,-44.2
SP,CAIEIRAS,-23.3644621,-46.7484765
SP,ATIBAIA,-23.1177393,-46.5547861
SP,NAZARÉ PAULISTA,-23.1819309,-46.3992986
MG,NOVA LIMA,-19.9854089,-43.8470691
MG,CARMO DA MATA,-20.558334,-44.8703774
MG,MARIANA,-20.3781468,-43.4174862
MG,BARRA LONGA,-20.2833541,-43.0423516
MG,MAR DE ESPANHA,-21.866945,-43.01
SP,ITAPECERICA DA SERRA,-23.7176303,-46.8492435
SP,JARINU,-23.0949649,-46.7148565
MG,GOIANÁ,-21.5375,-43.2014
MG,ITABIRITO,-20.2519724,-43.8029171
RJ,TERESÓPOLIS,-22.4164578,-42.975194
MG,RIO ACIMA,-20.0875,-43.789166
MG,PORTO FIRME,-20.672778,-43.084444
MG,CAETÉ,-19.897777,-43.670278
MG,SÃO GONÇALO DO RIO ABAIXO,-19.8252042,-43.362126
MG,SABARÁ,-19.8900372,-43.8107916
MG,VIÇOSA,-20.7538586,-42.8815888
MG,SANTA LUZIA,-19.7702097,-43.8505291
MG,PIRANGA,-20.685,-43.3
MG,SANTA BÁRBARA,-19.959444,-43.415278
MG,BARÃO DE COCAIS,-19.9452437,-43.4870298
SP,SÃO PAULO,-23.5506507,-46.6333824
SP,PIRACAIA,-23.052545,-46.359374
SP,BRAGANÇA PAULISTA,-22.9520235,-46.5418586
SP,FRANCISCO MORATO,-23.2817308,-46.7448996
SP,FRANCO DA ROCHA,-23.3328038,-46.724446
SP,PIEDADE,-23.7074096,-47.4252319
RJ,MIGUEL PEREIRA,-22.4539417,-43.4691978
RJ,PETRÓPOLIS,-22.5075743,-43.1785356
RJ,NOVA FRIBURGO,-22.30616605,-42.4934183305119
MG,RIO PIRACICABA,-19.528645313656696,-42.60701679758731
SP,INDAIATUBA,-23.0908356,-47.2180677
MG,PONTE NOVA,-20.4164353,-42.90878
MG,MATEUS LEME,-19.986666,-44.428056
MG,RAPOSOS,-19.967223,-43.804167
MG,SANTO ANTÔNIO DO AVENTUREIRO,-21.7579052,-42.815566
MG,GUARACIABA,-20.5718037,-43.0057078
RJ,DUAS BARRAS,-22.0522519,-42.5194705
RJ,RIO DAS FLORES,-22.1683478,-43.5858689
RJ,VASSOURAS,-22.4093928,-43.6609318
MG,SIMÃO PEREIRA,-21.963611,-43.311667
RJ,CANTAGALO,-21.9815,-42.3645
RJ,SUMIDOURO,-22.0455,-42.6735
SP,ESPÍRITO SANTO DO PINHAL,-22.1929522,-46.7470021
SP,ARUJÁ,-23.396266,-46.3175449
MG,MACHADO,-21.6762861,-45.9211696
SP,COTIA,-23.603889,-46.918889
SP,GUARULHOS,-23.4675941,-46.5277704
SP,SÃO ROQUE,-23.5304843,-47.1355473
SP,SANTA ISABEL,-23.3194222,-46.2271903
SP,CAMPO LIMPO PAULISTA,-23.207791,-46.788919
SP,IGARATÁ,-23.2063475,-46.156934
MG,PASSA TEMPO,-20.650556,-44.495833
MG,MARIPÁ DE MINAS,-21.6975,-42.959167
MG,JECEABA,-20.5353816,-43.983346
MG,OURO PRETO,-20.385527,-43.5035214
MG,ITAÚNA,-20.075556,-44.576389
MG,PRESIDENTE BERNARDES,-20.7685467,-43.1877237
MG,SÃO THOMÉ DAS LETRAS,-21.7218272,-44.9849435
MG,ALVINÓPOLIS,-20.1105199,-43.0601805
MG,ERVÁLIA,-20.8377232,-42.6559789
MG,BICAS,-21.7213723,-43.0604327
MG,CONCEIÇÃO DOS OUROS,-22.4124143,-45.797067
MG,RIO PRETO,-22.089444,-43.8275
MG,BARBACENA,-21.2254524,-43.7735087
MG,ITAGUARA,-20.391389,-44.488055
MG,SENHORA DE OLIVEIRA,-20.793889,-43.344166
MG,AGUANIL,-20.9424533,-45.3927152
MG,RIO POMBA,-21.275,-43.178889
MG,ACAIACA,-20.3621646,-43.1444162
MG,RIO NOVO,-21.4753189,-43.1250813
MG,SÃO SEBASTIÃO DA BELA VISTA,-22.159167,-45.754167
MG,TEIXEIRAS,-20.6517875,-42.8563275
MG,ITAVERAVA,-20.677,-43.619875
MG,CARMÓPOLIS DE MINAS,-20.541224,-44.6350611
SP,PIRACICABA,-22.725165,-47.6493269
SP,VÁRZEA PAULISTA,-23.2113889,-46.8283333
SP,IBIÚNA,-23.6544825,-47.220856
RJ,PARAÍBA DO SUL,-22.1636384,-43.2916915
RJ,CARMO,-21.9338,-42.6084
MG,RIO MANSO,-20.265079,-44.3090284
MG,NATÉRCIA,-22.12,-45.511389
MG,CONTAGEM,-19.9132749,-44.0840953
MG,MOEDA,-20.333056,-44.0525
RJ,NITERÓI,-22.8884,-43.1147
RJ,ANGRA DOS REIS,-23.155540549999998,-44.23448088153183
RJ,PATY DO ALFERES,-22.4272703,-43.4219523
